Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
Romans 11:26	and so all Israel will be saved. Even as it is written, “There will come out of Zion the Deliverer, and he will turn away ungodliness from Jacob.
Romans 11:27	This is my covenant to them, when I will take away their sins.”
Romans 11:28	Concerning the Good News, they are enemies for your sake. But concerning the election, they are beloved for the fathers’ sake.
Romans 11:29	For the gifts and the calling of God are irrevocable.
Romans 11:30	For as you in time past were disobedient to God, but now have obtained mercy by their disobedience,
Romans 11:31	even so these also have now been disobedient, that by the mercy shown to you they may also obtain mercy.
Romans 11:32	For God has shut up all to disobedience, that he might have mercy on all.
Romans 11:33	Oh the depth of the riches both of the wisdom and the knowledge of God! How unsearchable are his judgments, and his ways past tracing out!
Romans 11:34	“For who has known the mind of the Lord? Or who has been his counselor?”
Romans 11:35	“Or who has first given to him, and it will be repaid to him again?”
Romans 11:36	For of him, and through him, and to him, are all things. To him be the glory for ever! Amen.
Romans 12:1	Therefore I urge you, brothers, by the mercies of God, to present your bodies a living sacrifice, holy, acceptable to God, which is your spiritual service.
Romans 12:2	Don’t be conformed to this world, but be transformed by the renewing of your mind, so that you may prove what is the good, well-pleasing, and perfect will of God.
Romans 12:3	For I say, through the grace that was given me, to every man who is among you, not to think of himself more highly than he ought to think; but to think reasonably, as God has apportioned to each person a measure of faith.
Romans 12:4	For even as we have many members in one body, and all the members don’t have the same function,
Romans 12:5	so we, who are many, are one body in Christ, and individually members one of another.
Romans 12:6	Having gifts differing according to the grace that was given to us, if prophecy, let us prophesy according to the proportion of our faith;
Romans 12:7	or service, let us give ourselves to service; or he who teaches, to his teaching;
Romans 12:8	or he who exhorts, to his exhorting: he who gives, let him do it with liberality; he who rules, with diligence; he who shows mercy, with cheerfulness.
Romans 12:9	Let love be without hypocrisy. Abhor that which is evil. Cling to that which is good.
Romans 12:10	In love of the brothers be tenderly affectionate one to another; in honor preferring one another;
Romans 12:11	not lagging in diligence; fervent in spirit; serving the Lord;
Romans 12:12	rejoicing in hope; enduring in troubles; continuing steadfastly in prayer;
Romans 12:13	contributing to the needs of the saints; given to hospitality.
Romans 12:14	Bless those who persecute you; bless, and don’t curse.
Romans 12:15	Rejoice with those who rejoice. Weep with those who weep.
Romans 12:16	Be of the same mind one toward another. Don’t set your mind on high things, but associate with the humble. Don’t be wise in your own conceits.
Romans 12:17	Repay no one evil for evil. Respect what is honorable in the sight of all men.
Romans 12:18	If it is possible, as much as it is up to you, be at peace with all men.
Romans 12:19	Don’t seek revenge yourselves, beloved, but give place to God’s wrath. For it is written, “Vengeance belongs to me; I will repay, says the Lord.”
Romans 12:20	Therefore “If your enemy is hungry, feed him. If he is thirsty, give him a drink; for in doing so, you will heap coals of fire on his head.”
Romans 12:21	Don’t be overcome by evil, but overcome evil with good.
Romans 13:1	Let every soul be in subjection to the higher authorities, for there is no authority except from God, and those who exist are ordained by God.
Romans 13:2	Therefore he who resists the authority, withstands the ordinance of God; and those who withstand will receive to themselves judgment.
Romans 13:3	For rulers are not a terror to the good work, but to the evil. Do you desire to have no fear of the authority? Do that which is good, and you will have praise from the same,
Romans 13:4	for he is a servant of God to you for good. But if you do that which is evil, be afraid, for he doesn’t bear the sword in vain; for he is a servant of God, an avenger for wrath to him who does evil.
Romans 13:5	Therefore you need to be in subjection, not only because of the wrath, but also for conscience’ sake.
Romans 13:6	For this reason you also pay taxes, for they are servants of God’s service, attending continually on this very thing.
Romans 13:7	Give therefore to everyone what you owe: taxes to whom taxes are due; customs to whom customs; respect to whom respect; honor to whom honor.
Romans 13:8	Owe no one anything, except to love one another; for he who loves his neighbor has fulfilled the law.
Romans 13:9	For the commandments, “You shall not commit adultery,” “You shall not murder,” “You shall not steal,” “You shall not give false testimony,” “You shall not covet,” and whatever other commandments there are, are all summed up in this saying, namely, “You shall love your neighbor as yourself.”
Romans 13:10	Love doesn’t harm a neighbor. Love therefore is the fulfillment of the law.
Romans 13:11	Do this, knowing the time, that it is already time for you to awaken out of sleep, for salvation is now nearer to us than when we first believed.
Romans 13:12	The night is far gone, and the day is near. Let’s therefore throw off the works of darkness, and let’s put on the armor of light.
